# STAR T-pose vertices
# Vertex count: 6890
# Format: x y z
0.021296 0.435129 -0.091829
0.077995 0.409270 0.012664
0.076143 0.408134 0.017488
0.076240 0.401757 0.016488
0.079484 0.403529 0.014601
0.075855 0.420880 0.039788
0.075765 0.418886 0.025931
0.009016 0.448109 0.115628
0.002223 0.456854 0.113055
0.002295 0.449919 0.118620
0.002217 0.464610 0.108994
0.002113 0.567576 0.000913
0.002159 0.563421 0.036910
0.001713 0.547069 -0.067001
0.002021 0.563232 -0.036110
0.006939 0.364629 0.116158
0.009390 0.350758 0.116526
0.009252 0.405368 0.119337
0.005999 0.404644 0.120123
0.006528 0.400461 0.121057
0.009891 0.400970 0.120256
0.021791 0.464097 0.095843
0.015781 0.396724 -0.070836
0.013178 0.346709 -0.055475
0.014179 0.329638 -0.056180
0.040967 0.316714 -0.052393
0.028436 0.315157 -0.057957
0.005466 0.408769 0.119626
0.008322 0.409395 0.118557
0.007835 0.419162 0.121407
0.015487 0.392416 0.116666
0.008054 0.412475 0.118044
0.008729 0.414638 0.117579
0.003303 0.412091 0.120865
0.003727 0.408366 0.119869
0.031860 0.446935 0.095133
0.032151 0.451620 0.094974
0.005631 0.416980 0.126443
0.006403 0.418029 0.123702
0.002108 0.416000 0.127180
0.048701 0.304510 0.034477
0.058547 0.308502 0.019950
0.004548 0.396457 0.121426
0.004635 0.392563 0.119964
0.001985 0.549985 0.067832
-0.000618 0.411770 -0.083137
0.000896 0.432609 -0.092933
0.077955 0.435790 0.017831
0.080169 0.431156 0.012482
0.081437 0.438479 0.010229
0.079675 0.443500 0.015510
0.011106 0.306606 0.058498
0.063156 0.311058 0.004684
0.015052 0.315359 -0.061255
0.051166 0.453640 0.084580
0.049903 0.452116 0.085621
0.024513 0.461359 0.095022
0.001933 0.461202 -0.099580
0.016742 0.384221 0.114533
0.015415 0.388540 0.113851
0.000980 0.348792 -0.057014
0.010956 0.331461 0.078121
0.003262 0.414524 0.123752
0.000260 0.396293 -0.072477
0.084281 0.444874 0.002031
0.085624 0.443241 0.005399
0.085090 0.439770 0.005132
0.083742 0.440484 0.003763
0.086507 0.446735 0.009730
0.087607 0.443013 0.007741
0.089354 0.446007 0.006585
0.088226 0.450063 0.007734
0.081044 0.449355 0.012007
0.084251 0.442844 0.010625
0.090528 0.448012 0.004599
0.090635 0.450982 0.005754
0.088109 0.452925 0.004547
0.084461 0.453380 0.000893
0.093101 0.451746 0.002151
0.089766 0.454143 0.000216
0.095805 0.451198 -0.002944
0.091215 0.453820 -0.005262
0.097086 0.448107 -0.008534
0.091491 0.449862 -0.010801
0.077237 0.415754 0.017685
0.078013 0.415885 0.010691
0.097593 0.442757 -0.012069
0.091079 0.443452 -0.013947
0.097201 0.435523 -0.014037
0.090888 0.436010 -0.015796
0.095644 0.428008 -0.013583
0.090446 0.427676 -0.015489
0.094055 0.420498 -0.011492
0.088925 0.419389 -0.012987
0.091699 0.413445 -0.007301
0.086370 0.409860 -0.008897
0.092275 0.449239 -0.003989
0.093362 0.446088 -0.007884
0.083307 0.448717 -0.007142
0.091126 0.449935 0.000827
0.083864 0.434609 -0.001389
0.081624 0.437952 -0.002663
0.081756 0.436286 -0.002160
0.081298 0.434643 -0.004444
0.079498 0.423334 0.012295
0.080498 0.423095 0.008385
0.081076 0.428708 0.008775
0.078940 0.418823 0.007836
0.077800 0.420257 0.006689
0.077527 0.423965 0.007109
0.077318 0.428806 0.006841
0.078242 0.418665 0.004548
0.079762 0.416793 0.005215
0.076963 0.420076 0.004117
0.076613 0.420984 0.005316
0.075747 0.423484 0.004383
0.076765 0.427069 0.002056
0.077564 0.426012 0.018244
0.078548 0.422980 -0.007367
0.075823 0.413721 -0.003380
0.088415 0.408200 -0.001818
0.084927 0.401798 -0.001946
0.082877 0.399606 0.012033
0.084510 0.397524 0.005747
0.081883 0.443282 -0.009352
0.081646 0.436845 -0.011063
0.074281 0.406720 0.003395
0.081094 0.430185 -0.010832
0.089926 0.417645 -0.005930
0.086605 0.414259 -0.002219
0.092260 0.422659 -0.009234
0.080933 0.413314 0.006772
0.082290 0.407161 0.009173
0.085749 0.406378 0.004089
0.083162 0.412770 0.001858
0.088623 0.420773 -0.003663
0.084676 0.418286 -0.001601
0.085353 0.423726 -0.003491
0.081678 0.421652 -0.001796
0.079276 0.419502 0.001362
0.081381 0.416868 0.001493
0.077508 0.424452 -0.002212
0.081419 0.427556 -0.003691
0.076739 0.421446 0.001593
0.088126 0.426743 -0.003909
0.090401 0.430737 -0.004886
0.088104 0.433331 -0.002005
0.084929 0.430368 -0.003043
0.092854 0.428821 -0.011353
0.092743 0.429277 -0.007693
0.091040 0.424594 -0.006085
0.093261 0.434983 -0.008604
0.093368 0.435600 -0.011797
0.091458 0.435052 -0.006095
0.089884 0.436127 -0.003828
0.092730 0.444069 -0.005827
0.093233 0.440132 -0.007783
0.093933 0.441733 -0.010589
0.092010 0.438876 -0.005387
0.091226 0.441970 -0.004081
0.089623 0.440270 -0.003250
0.090520 0.438574 -0.004517
0.088553 0.447690 0.003229
0.087102 0.446168 0.004932
0.089695 0.447823 0.000364
0.087509 0.448905 0.000847
0.088173 0.445752 0.000160
0.085907 0.447936 0.001199
0.087039 0.443762 0.000736
0.085057 0.440770 0.001254
0.026827 0.274688 0.048522
0.024965 0.285351 0.049101
0.012653 0.282729 0.052029
0.013740 0.272944 0.050291
0.088462 0.441828 -0.001020
0.089674 0.444108 -0.002131
0.091216 0.446750 -0.003113
0.086235 0.437116 -0.000765
0.087781 0.436209 -0.001419
0.088578 0.437965 -0.002129
0.087035 0.439341 -0.000537
0.081193 0.433147 0.007988
0.079581 0.431534 0.004580
0.079926 0.429392 0.000342
0.060921 0.264177 0.031871
0.075433 0.271708 0.018336
0.070860 0.279414 0.014414
0.056975 0.271986 0.027575
0.071835 0.242404 0.051437
0.074164 0.225617 0.061937
0.093145 0.229452 0.054892
0.092678 0.250108 0.035835
0.093002 0.211101 0.068103
0.074915 0.208893 0.072424
0.089229 0.162931 0.101406
0.091015 0.178592 0.090550
0.073139 0.177577 0.093650
0.071664 0.161846 0.104557
0.108545 0.083591 0.130047
0.096338 0.085278 0.134083
0.088520 0.069390 0.132611
0.101955 0.065769 0.127035
0.161106 0.183887 0.063996
0.170417 0.174099 0.061242
0.172352 0.193485 0.056168
0.162531 0.203332 0.056287
0.103962 0.284516 -0.013931
0.096510 0.288184 -0.016800
0.091754 0.274171 0.004525
0.099769 0.269170 0.010152
0.152812 0.096560 0.078464
0.148596 0.106234 0.088681
0.143917 0.094222 0.095864
0.147379 0.084593 0.087233
0.125995 0.004063 0.087859
0.111265 0.003675 0.104889
0.110191 -0.016144 0.107026
0.125582 -0.015926 0.088989
0.161257 0.024682 0.015077
0.157969 0.006118 0.015994
0.157835 0.005746 -0.012075
0.161377 0.022172 -0.013433
0.119868 0.161640 0.092837
0.122558 0.177322 0.082962
0.107570 0.178388 0.086799
0.105374 0.162909 0.097262
0.352189 0.232448 0.020500
0.325513 0.231456 0.020578
0.326893 0.214537 0.022967
0.353602 0.215543 0.022311
0.156769 -0.088665 0.034846
0.158774 -0.106191 0.039044
0.159166 -0.102687 0.009926
0.156024 -0.085525 0.007438
0.213555 0.256000 0.028089
0.213582 0.272852 0.007546
0.200680 0.275321 0.006513
0.199704 0.259071 0.028718
0.161485 0.145893 0.069721
0.165903 0.158471 0.065513
0.158353 0.167631 0.070668
0.153886 0.153113 0.076707
0.168603 0.053348 -0.018883
0.171296 0.070488 -0.021599
0.170713 0.072549 -0.000702
0.168727 0.055856 0.005000
0.165475 0.039972 0.010319
0.165228 0.037336 -0.015851
0.144489 0.156944 0.082535
0.146841 0.173518 0.075193
0.135612 0.175729 0.079037
0.132941 0.159566 0.087991
0.080207 0.055153 0.129055
0.096400 0.050907 0.121806
0.150618 -0.110896 0.066932
0.150192 -0.092600 0.062160
0.137764 -0.096994 0.086159
0.136801 -0.116092 0.090798
0.095161 0.022077 0.116157
0.110964 0.021423 0.103686
0.109608 0.036650 0.107311
0.094175 0.037710 0.117450
0.119020 -0.120389 0.110882
0.120665 -0.100738 0.106462
0.101566 -0.103085 0.124364
0.100033 -0.124698 0.128970
0.092513 0.194533 0.079693
0.074443 0.192910 0.082980
0.128436 0.083328 0.115520
0.119594 0.083028 0.123583
0.114044 0.065152 0.120189
0.124474 0.066188 0.112182
0.176073 0.143788 0.040656
0.180126 0.156972 0.038640
0.181077 0.178783 0.052573
0.176015 0.160031 0.053837
0.160907 -0.119658 0.013165
0.159214 -0.123593 0.042867
0.117426 -0.141106 0.113281
0.098740 -0.146426 0.131068
0.215417 0.156495 -0.036499
0.212952 0.160384 -0.022142
0.203977 0.147128 -0.019178
0.208244 0.144405 -0.033951
0.056177 0.086746 0.136512
0.065108 0.066367 0.134302
0.077743 0.079486 0.136514
0.071581 0.096395 0.136722
0.121833 0.050975 0.104320
0.110307 0.049900 0.113319
0.122538 0.037906 0.096188
0.040068 0.076240 0.132289
0.051753 0.051566 0.130702
0.055351 0.190827 0.086619
0.054275 0.175702 0.096540
0.055815 0.206031 0.077154
0.054681 0.221819 0.067913
0.035825 0.218771 0.072502
0.036421 0.203243 0.081397
0.052291 0.237458 0.059740
0.033922 0.234106 0.064641
0.044085 0.258894 0.042200
0.041184 0.267851 0.038281
0.170577 0.146612 0.056530
0.165776 0.135256 0.059855
0.135242 -0.135375 0.093514
0.115175 0.217681 -0.112049
0.134478 0.223727 -0.104724
0.132219 0.205745 -0.110312
0.113459 0.198852 -0.118086
0.115244 0.269584 0.011379
0.114497 0.283737 -0.013457
0.188244 0.157629 -0.077553
0.187876 0.148096 -0.072971
0.179522 0.139140 -0.078180
0.176516 0.150872 -0.082300
0.215972 0.155337 -0.056406
0.213857 0.159599 -0.061658
0.231405 0.165905 -0.063741
0.232866 0.161046 -0.057580
0.152367 -0.099905 -0.016347
0.148211 -0.082860 -0.018744
0.134095 0.034742 -0.080896
0.142420 0.052032 -0.078660
0.153062 0.043999 -0.060836
0.147002 0.027212 -0.061353
0.016201 0.187744 -0.115895
0.034942 0.190942 -0.120710
0.035013 0.175081 -0.122985
0.015980 0.172291 -0.117933
0.073674 0.219369 -0.116516
0.053052 0.211709 -0.118739
0.052309 0.226421 -0.113341
0.073570 0.235005 -0.109757
0.094281 0.210074 -0.118680
0.093665 0.191457 -0.124345
0.164908 0.055472 -0.040347
0.168990 0.072368 -0.040708
0.177525 0.096552 -0.042395
0.183105 0.106679 -0.043121
0.182821 0.106043 -0.027637
0.177950 0.095967 -0.026187
0.089576 0.293728 -0.019891
0.095304 0.294693 -0.040220
0.087168 0.298696 -0.043382
0.052195 0.275481 -0.088906
0.063444 0.279874 -0.084060
0.064175 0.273982 -0.087606
0.051074 0.269191 -0.093021
0.039544 0.101217 -0.124542
0.042051 0.078608 -0.121637
0.018429 0.079798 -0.118307
0.017518 0.101313 -0.120730
0.188986 0.118879 -0.056270
0.186180 0.123453 -0.065707
0.194514 0.133974 -0.063587
0.197997 0.129625 -0.056325
0.178492 0.113954 -0.066722
0.181163 0.109271 -0.055934
0.174884 0.099326 -0.056013
0.171562 0.104141 -0.068286
0.150462 0.068119 -0.075517
0.158836 0.082960 -0.072389
0.164787 0.076844 -0.057441
0.158829 0.060838 -0.059208
0.018695 0.007110 -0.102761
0.018634 0.032556 -0.109289
0.039914 0.029404 -0.112311
0.038975 0.003555 -0.106556
0.223856 0.174532 0.001983
0.243438 0.175905 -0.001814
0.238760 0.183894 0.014202
0.221446 0.181723 0.018344
0.238725 0.186258 -0.076202
0.237014 0.192978 -0.077836
0.249634 0.198216 -0.079124
0.251020 0.191772 -0.078059
0.269117 0.168098 -0.018304
0.291063 0.167528 -0.020460
0.286117 0.174737 -0.005328
0.263595 0.175003 -0.003689
0.123862 0.286395 -0.041459
0.113086 0.288979 -0.039745
0.126203 0.284204 -0.013533
0.253201 0.160783 -0.041216
0.252109 0.161263 -0.051896
0.271507 0.163567 -0.055679
0.272439 0.161696 -0.044334
0.351337 0.248046 0.010712
0.324983 0.246978 0.010304
0.316366 0.165613 -0.036323
0.293802 0.163440 -0.034437
0.294574 0.162853 -0.047593
0.318086 0.166931 -0.050263
0.141282 0.010733 -0.060725
0.126800 0.017152 -0.079978
0.122818 -0.096715 -0.056715
0.118262 -0.078264 -0.058969
0.134831 -0.080249 -0.041286
0.139755 -0.097915 -0.039048
0.154885 -0.117217 -0.014118
0.125920 -0.115493 -0.054637
0.142737 -0.115817 -0.036949
0.072094 0.305245 -0.039644
0.079955 0.302471 -0.042858
0.069202 0.299075 -0.060632
0.062942 0.304918 -0.055508
0.169743 -0.226163 -0.009525
0.175522 -0.229008 0.020546
0.177684 -0.256140 0.016219
0.169782 -0.254391 -0.013885
0.036987 0.287911 -0.079816
0.034309 0.296453 -0.072872
0.049780 0.300403 -0.066165
0.054904 0.293562 -0.072217
0.167864 -0.200408 -0.008207
0.172524 -0.204564 0.020973
0.075842 0.300723 -0.020420
0.083027 0.296949 -0.020972
0.073276 0.293654 -0.002383
0.080442 0.288309 -0.002433
0.065438 0.287348 0.013960
0.175314 -0.236403 0.047781
0.179523 -0.263959 0.045710
0.057058 0.309942 -0.049884
0.045413 0.307271 -0.060278
0.031975 0.305326 -0.066416
0.017566 0.303798 -0.070267
0.001870 0.303930 -0.071819
0.000778 0.315922 -0.062845
0.160525 -0.136185 0.016433
0.155706 -0.133989 -0.011612
0.117981 -0.359692 -0.082858
0.120528 -0.376848 -0.073413
0.089311 -0.376008 -0.082444
0.091258 -0.363078 -0.091066
0.024884 -0.349455 -0.095238
0.060100 -0.359189 -0.095879
0.055696 -0.370813 -0.083635
0.021621 -0.360030 -0.080101
0.030725 -0.232773 -0.115910
0.030770 -0.211074 -0.109238
0.059347 -0.210488 -0.108545
0.059634 -0.232143 -0.115470
0.144273 -0.133035 -0.035007
0.128307 -0.133098 -0.053218
0.157478 -0.140574 0.045305
0.179752 -0.405319 0.058010
0.177252 -0.441062 0.054855
0.178998 -0.433982 0.014906
0.183903 -0.398173 0.016058
0.144777 -0.425983 -0.045917
0.113541 -0.423635 -0.062079
0.117546 -0.398604 -0.066983
0.149128 -0.396766 -0.049524
0.079544 -0.150785 0.147467
0.077436 -0.172977 0.145574
0.097003 -0.167211 0.130217
0.017605 -0.161133 0.170866
0.014968 -0.184014 0.167046
0.035910 -0.181135 0.164359
0.039776 -0.158014 0.168121
0.021723 -0.299366 0.146976
0.026408 -0.274193 0.147199
0.010024 -0.276773 0.150416
0.008362 -0.300405 0.149528
0.167150 -0.244907 0.073585
0.161254 -0.221176 0.073979
0.144068 -0.229815 0.094514
